kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,1,XLU,2020-03-10,26.38,1236.7,2020-03-03,26.94,16.66,16.31,-692.55,-708.86,-2.13,5,rotation (out of top-N),2020-03-02,27.45,,1.3,1.7,,6.52,,999,2020-03-09,23.59,,-1.69,2.4,,-8.43,,999
SELL,2,TLT,2020-06-02,134.16,262.07,2020-03-03,127.13,16.66,17.58,1842.34,1824.76,5.48,63,rotation (out of top-N),2020-03-02,137.84,,3.98,1.0,,19.88,,999,2020-06-01,129.55,,1.04,1.7,,5.19,,999
SELL,3,SMH,2020-03-10,60.48,504.57,2020-03-03,66.03,16.66,15.26,-2800.36,-2815.61,-8.45,5,rotation (out of top-N),2020-03-02,63.54,,1.07,1.7,,5.37,,999,2020-03-09,57.4,,-1.03,2.3,,-5.13,,999
SELL,4,VGT,2020-03-17,23.24,1168.16,2020-03-10,27.02,15.78,13.57,-4415.64,-4429.21,-14.03,5,rotation (out of top-N),2020-03-09,26.29,,-0.74,2.2,,-3.69,,999,2020-03-16,22.41,,-3.55,2.9,,-17.77,,999
SELL,5,XLK,2020-03-17,35.18,777.62,2020-03-10,40.59,15.78,13.68,-4206.93,-4220.61,-13.37,5,rotation (out of top-N),2020-03-09,39.88,,-0.3,2.1,,-1.52,,999,2020-03-16,33.83,,-3.27,2.8,,-16.36,,999
SELL,6,XLV,2020-03-24,70.55,362.92,2020-03-17,75.06,13.62,12.8,-1636.78,-1649.58,-6.06,5,rotation (out of top-N),2020-03-16,71.17,,-3.25,2.8,,-16.24,,999,2020-03-23,76.8,,-1.89,2.5,,-9.44,,999
SELL,7,QQQ,2020-03-31,184.17,161.79,2020-03-17,168.37,13.62,14.9,2556.31,2541.41,9.33,10,rotation (out of top-N),2020-03-16,163.79,,-2.94,2.7,,-14.69,,999,2020-03-30,176.33,,-1.62,2.4,,-8.11,,999
SELL,8,XLK,2020-03-31,38.91,720.48,2020-03-24,35.54,12.8,14.02,2428.01,2413.99,9.43,5,rotation (out of top-N),2020-03-23,37.45,,-1.49,2.4,,-7.44,,999,2020-03-30,36.73,,-1.84,2.5,,-9.22,,999
SELL,9,QQQ,2020-08-25,272.39,145.04,2020-04-14,199.21,14.45,19.75,10613.86,10594.11,36.67,93,rotation (out of top-N),2020-04-13,207.02,,1.48,4.6,,7.42,,0,2020-08-24,281.78,,5,0.6,,28.75,,133
SELL,10,XLK,2020-04-21,41.24,695.04,2020-04-14,41.57,14.45,14.33,-229.36,-243.7,-0.84,5,rotation (out of top-N),2020-04-13,42.51,,0.92,4.8,,4.59,,0,2020-04-20,42.21,,0.72,4.7,,3.59,,7
SELL,11,XLV,2020-04-28,92.47,322.57,2020-04-21,88.86,14.33,14.91,1164.49,1149.57,4.01,5,rotation (out of top-N),2020-04-20,90.68,,1.27,4.7,,6.37,,0,2020-04-27,88.46,,0.71,4.7,,3.56,,7
